date,sales,promotion,day_of_week,is_weekend,price
2024-01-01,80,0,1,0,19.99
2024-01-02,85,0,2,0,19.99
2024-01-03,90,0,3,0,19.99
2024-01-04,110,1,4,0,14.99
2024-01-05,115,1,5,0,14.99
2024-01-06,120,1,6,1,14.99
2024-01-07,95,0,7,1,19.99
2024-01-08,82,0,1,0,19.99
2024-01-09,88,0,2,0,19.99
2024-01-10,92,0,3,0,19.99
2024-01-11,96,0,4,0,19.99
2024-01-12,100,0,5,0,19.99
2024-01-13,118,1,6,1,14.99
2024-01-14,98,0,7,1,19.99
2024-01-15,85,0,1,0,19.99
2024-01-16,90,0,2,0,19.99
2024-01-17,94,0,3,0,19.99
2024-01-18,98,0,4,0,19.99
2024-01-19,102,0,5,0,19.99
2024-01-20,116,1,6,1,14.99
2024-01-21,,1,7,1,14.99
2024-01-22,,0,1,0,19.99
2024-01-23,,0,2,0,19.99
2024-01-24,,1,3,0,14.99
2024-01-25,,1,4,0,14.99
2024-01-26,,1,5,0,14.99
2024-01-27,,0,6,1,19.99
